Position (mm),Cluster no.,Si,K,Ca,Ti,Cr,Br,Mn,Fe,Ni,Cu,Zn,Pb,Zr,Rb,PC1,PC2,PC3
154,2,-0.423259095,0.479483193,-1.383421711,0.279126027,-1.485420879,-1.657061426,-1.802617012,3.863283331,-1.398689183,1.747582863,0.14985484,-1.258258568,0.715525325,-0.007790056,-0.679790591,-0.255872051,-1.93912864
155,1,-0.423213037,0.440669537,-1.285567643,0.188229616,-1.924181945,-1.176673555,-1.554739689,3.971020853,-1.31551,1.658716068,-0.042544324,-1.660529297,0.785356906,0.113913722,-1.102793114,-1.185968258,-1.563531014
156,1,-0.450380473,0.370080464,-1.402120996,0.524824968,-1.650817622,-1.715617615,-1.529120687,3.855692878,-1.305977136,1.726301337,-0.066798076,-1.281284523,0.765796191,0.019475566,-1.003134705,-0.442177131,-1.665976093
157,1,-0.358628461,0.612059178,-1.376271687,0.715180768,-2.292562419,-2.204856838,-1.023270148,3.84845296,-1.177420828,1.532267375,-0.023878877,-1.413627473,0.690591073,0.226477238,-1.977099064,-1.437957933,-0.12035661
158,1,-0.661979924,0.4556249,-1.222702519,0.337480005,-1.872859515,-0.942802587,-1.521644996,3.952497844,-1.349244735,1.742730368,0.238852711,-2.163847375,0.848305628,-0.017180528,-0.976036741,-0.89553712,-1.813984777
159,1,-0.426685565,0.589365123,-0.962990274,0.708563874,-1.816760649,-1.50660572,-1.456053441,3.917968962,-1.394600662,1.82995437,0.191385589,-2.368829231,0.517146915,-0.028373864,-1.607051686,-0.299651524,-1.113119922
160,2,-0.597100559,0.497198279,-1.423574193,0.243204266,-1.556637311,-1.426858268,-1.523485104,3.864527233,-1.216959944,1.848298392,0.182579644,-1.356988588,0.324056362,-0.034823834,-0.365246102,-0.436526068,-1.846590329
161,1,-0.603082025,0.527723386,-1.444706111,0.172621388,-1.880324258,-1.300505763,-1.7334889,3.913497884,-1.103999571,1.937612309,0.055329391,-1.306236437,0.52404353,0.064127102,-0.760762304,-1.093906172,-1.776679819
162,1,-0.554298832,0.588347283,-1.646859665,0.664734497,-1.399575469,-1.782332178,-1.637850596,4.043453927,-1.364849758,1.581204585,-0.188560382,-1.585436853,0.85078601,0.173887341,-1.878456841,0.243992931,-2.239517055
163,1,-0.670297019,0.596403457,-1.260191167,0.401647022,-2.005298086,-1.399162282,-1.381143777,4.088617749,-1.232108198,1.43319508,-0.283722674,-1.531136447,0.746237227,0.194146248,-1.788590333,-0.870401723,-1.194072417
164,1,-1.089262747,0.509061,-1.188792342,0.311401554,-2.094960067,-1.472605938,-1.296092723,4.169958109,-1.018166825,1.545839403,-0.362477207,-1.296092723,0.688362211,0.30685166,-1.660626679,-0.696517061,-0.920034486
165,2,-1.171395644,0.371751371,-1.21527365,0.395219115,-1.69748874,-1.303485075,-1.186663116,4.192548667,-1.43907705,1.332479787,-0.282756443,-0.872414016,0.619942861,0.124437872,-0.673910293,0.236965444,-1.466599394
166,2,-1.364790577,0.404161755,-1.367736088,0.536877871,-1.865860026,-0.860456567,-1.151103361,4.287244423,-1.261491008,1.450618142,-0.078966747,-1.437993981,0.561602618,0.058317757,-0.843260681,0.11423998,-1.836643689
167,2,-1.344957513,0.316848385,-1.207067354,0.663112177,-1.383318381,-1.326315162,-0.994755084,4.283388564,-1.570119229,1.430818329,-0.138568276,-1.108993273,0.24985788,0.107637928,-0.442922353,1.388950312,-1.681315393
168,2,-1.352388359,0.382364292,-1.228894285,0.437221034,-1.879671695,-1.169208064,-1.104803672,4.165312923,-1.307040539,1.58892583,0.199769847,-1.038631677,0.332960024,-0.028572786,-0.071469344,0.166491902,-1.301890068
169,2,-1.228328244,0.390018413,-1.403960813,0.458567727,-1.681912601,-1.6371547,-1.039317699,4.097340934,-1.148801932,1.782502007,0.393559807,-1.33443475,0.381556995,-0.00639686,-0.253930414,0.427058128,-1.298245776
170,2,-1.516930843,0.348331088,-1.255001267,0.428171877,-1.844964211,-1.235624988,-0.954896675,4.058879147,-1.191822365,1.844895155,0.469704443,-1.315490029,0.280930499,-0.028671556,0.222663491,0.13452077,-1.236125038
171,2,-1.26514554,0.319534255,-1.258616681,0.346473398,-1.645811534,-1.554284277,-0.78131868,4.078451991,-1.428435381,1.797408399,0.295065432,-1.107880563,0.331989932,-0.014255816,0.359720051,0.399858051,-1.052381335
172,2,-1.334437764,0.356330394,-1.205226032,0.444098372,-1.727662817,-1.5631386,-0.974320476,4.119703758,-1.238232329,1.780608939,0.176729927,-1.211740713,0.563174711,-0.137385402,-0.101881223,0.445913275,-1.147156053
173,2,-1.420007276,0.319898832,-1.165447528,0.482814508,-1.743794353,-1.253771857,-0.944367961,4.080219139,-1.216198376,1.712243944,0.131959283,-1.292812406,0.310989043,0.061959869,-0.213753519,0.264082196,-1.260844471
174,2,-1.375837057,0.365888381,-1.192135238,0.492559412,-1.746020351,-1.348587415,-0.81385627,4.136499487,-1.173911499,1.766360559,-0.018977197,-1.557054252,0.468389051,-0.047107432,-0.460552359,0.268666379,-1.196912564
175,2,-1.239277892,0.378555592,-1.173569096,0.406945777,-2.012858177,-1.575750129,-0.828363179,4.118997115,-1.267783385,1.798081672,0.003735461,-1.026965622,0.387341776,0.040875008,-0.246927282,-0.193574798,-0.609281709
176,2,-1.290218862,0.415212524,-1.092971655,0.400071147,-1.845458275,-1.726220694,-0.767434949,4.074268683,-1.213072188,1.819334278,0.0558016,-1.22709111,0.381405183,-0.014450101,-0.269901655,0.109682502,-0.562512264
177,2,-1.266242269,0.287506738,-1.179809763,0.390220582,-1.696313188,-1.316074642,-0.989031496,3.997490842,-1.348215852,1.798791471,-0.005574121,-1.092444591,0.491376157,-0.047107217,0.097437197,0.022228895,-1.347287582
178,2,-1.41341865,0.337373381,-0.98211231,0.318561172,-1.745711152,-1.347572084,-0.75760914,4.040727121,-1.191322767,1.827003482,0.146653016,-1.535793363,0.531368955,-0.189489242,0.079199463,0.148412273,-0.924501655
179,2,-1.226491727,0.39357987,-1.182911846,0.374446918,-1.784438529,-1.38027128,-0.829226441,4.018925147,-1.286142435,1.748878743,-0.037101346,-1.239944844,0.411055195,0.052336464,-0.260663689,-0.198884379,-1.041283292
180,2,-1.444592426,0.283432903,-1.15412871,0.42870852,-1.830746589,-1.028965567,-0.721264628,4.061135345,-1.411712752,1.837218965,0.059794425,-1.493104077,0.358247489,0.093262714,0.036050343,-0.139134014,-1.204227543
181,2,-1.480811356,0.320970976,-1.068046945,0.350010319,-1.993470161,-0.98604811,-0.742018668,4.092125807,-1.480811356,1.819289909,0.105279193,-0.976048027,0.1763696,-0.017861251,0.571035676,-0.239437088,-0.908067745
182,2,-1.422197169,0.393092798,-1.179303843,0.230496432,-1.758669406,-1.443996397,-0.773134262,4.108803011,-1.229151649,1.985626905,0.010188299,-1.092292466,0.17966495,0.056708315,0.175105701,0.093987229,-0.920021403
183,2,-1.327597145,0.30623222,-1.001763307,0.22911695,-2.008474233,-1.286478898,-0.794792615,4.021119907,-1.310460863,1.978339438,0.014525998,-1.215592087,0.416544312,0.019674014,0.187047241,-0.529765747,-0.652720833
184,2,-1.369179513,0.392382279,-1.027844727,0.330545246,-1.698850782,-1.222934013,-0.888731925,4.016843434,-1.293385674,1.908707776,-0.141859345,-1.40661704,0.415115596,-0.008135663,-0.152752591,-0.04320447,-1.192471631
185,2,-1.248327265,0.336258931,-1.088995227,0.204456837,-1.707480879,-0.958375044,-0.879903429,3.967571467,-1.259755961,1.801807102,-0.03936692,-1.371522649,0.274760209,0.031975068,0.100185218,-0.391355654,-1.356889656
186,2,-1.274501479,0.319822796,-1.138699938,0.447046844,-1.637691104,-1.602374432,-0.773726191,4.009232797,-1.029774356,1.720435023,-0.015265996,-1.458642873,0.488047612,0.017107507,-0.557702765,0.223476617,-1.011247051
187,2,-1.309136868,0.31507509,-1.061187268,0.359447146,-1.672478503,-1.295279833,-0.539890344,4.028557729,-1.366568917,1.774691465,0.00358605,-1.454028222,0.381988195,-0.060368579,0.124300417,0.083723737,-0.943877161
188,2,-1.24848174,0.350300524,-1.083201649,0.424774388,-2.043411615,-1.255418184,-0.688207841,4.054582407,-1.365688905,1.789325199,0.034114829,-1.416164426,0.443194271,0.037304624,-0.209819042,-0.497981536,-0.676452728
189,2,-1.286790684,0.277775474,-1.071530318,0.331842695,-2.175744862,-0.957270967,-0.776889275,4.089171776,-1.310156233,1.770408133,0.003847017,-1.077132573,0.230795265,-0.001887309,0.212093637,-0.713710553,-0.755975898
190,2,-1.290623023,0.421059445,-0.819077373,0.557928996,-1.971500111,-2.352867667,-0.526016878,4.24136012,-1.259028657,1.905274768,0.188171738,-1.397356222,0.254045889,0.068135181,-0.645185544,0.823142664,0.554656223
